answer	qid
 on a branch	fables-01-1
 a branch	fables-01-2
 A Crow	fables-01-3
 tried	fables-01-4
A fox observed the crow and tried to discover how to get the cheese . 	fables-01-5
 a crow	fables-01-6
 The crow	fables-01-7
 A Lion	fables-02-1
 The Bull	fables-02-2
There once was a fat bull . 	fables-02-3
 The bull	fables-02-4
 A lion	fables-02-5
 the bull	fables-02-6
 dear friend	fables-02-7
 dear friend	fables-02-8
 the bull	fables-02-9
 because the lion feared sharp every horn	fables-02-10
 the bull	fables-02-11
 on eventful today	blogs-01-1
 G20 summit	blogs-01-2
 of people	blogs-01-3
 it	blogs-01-4
 The people	blogs-01-5
 The people	blogs-01-6
 threw a thing	blogs-01-7
 The people	blogs-01-8
 things	blogs-01-9
 burned	blogs-01-10
 worse tear gas	blogs-01-11
 worse tear gas	blogs-01-12
 eventful work day	blogs-01-13
Alyssa got to the beach after a long trip . 	mc500.train.0.1
 she	mc500.train.0.2
 Kristin	mc500.train.0.3
 after a long trip	mc500.train.0.4
 time	mc500.train.0.5
 because they were tired	mc500.train.0.6
 The girls	mc500.train.0.7
 she	mc500.train.0.8
 the restaurant	mc500.train.0.9
 friends Kristin	mc500.train.0.10
 for dinner	mc500.train.0.11
 at Ellen 's	mc500.train.0.12
